lingwa de planeta,inglish,ruski,worda tip,surse
kordiale ," (kwel) cordial, hearty",,kwel,
kordialem ," (komo) cordially, heartily",,komo,
kordialogia , (kwo) cardiology,кардиология,kwo,
Kordilyeras , (kwo) Cordilleras,Кордильеры,kwo,
korekta , (kwo) correction,,kwo,
korekta-ney (korekte) , (kwel) correct,,kwel,
korekti , (zwo) correct,"исправлять, корректировать; korekta исправление, коррекция; korekta-ney (korekte) корректный, безошибочный",zwo,
koresponda , (kwo) correspondence,,kwo,
"koresponde, korespondi-she ", (kwel) corresponding; respective,,kwel,
korespondem , (komo) correspondingly; respectively,,komo,
korespondi ," (zwo) correspond (answer in character or function, be adequate)","соответствовать; koresponda соответствие; koresponde, korespondi-she соответствующий, соответственный; korespondem соответственно",zwo,
koridor ," (kwo) corridor, passage-way",коридор,kwo,
korka , (kwo) cork (bark; stopper),пробка (затычка; кора пробкового дуба); korkatirika штопор; korki затыкать пробкой; dekorki откупоривать,kwo,
korkatirika , (kwo) corkscrew,,kwo,
korkatirika , (kwo) corkscrew,,kwo,
korki , (zwo) cork,,zwo,
korna ," (kwo) horn (of animals, as material or as used in wind instrument)",рог,kwo,
kornanos , (kwo) rhinoceros (Origin: korna + nos),носорог,kwo,Lidepla
kornea , (kwo) cornea,роговица,kwo,
korpa , (kwo) body (but not a group of persons or collection of particulars),тело,kwo,
korpabilder , (kwo) bodybuilder,,kwo,
korpabildi , (zwo) practice bodybuilding,"заниматься культуризмом/бодибилдингом; korpabilder бодибилдер, культурист; korpabilding культуризм, бодибилдинг",zwo,
korpabilding , (kwo) bodybuilding,,kwo,
korporasion , (kwo) corporation,корпорация,kwo,
korpus , (kwo) corps,"корпус (воен., офиц.): diplomatike korpus дипломатический корпус",kwo,
korta ," (kwo) court, yard, courtyard; court (all the surroundings of a sovereign)",двор (в разн. знач.); kortayuan придворный,kwo,
kortayuan , (kwo) courtier (a person in attendance at a royal court),,kwo,
korva , (kwo) raven,ворон,kwo,
kosa , (kwo) thing,"вещь, предмет; дело; вопрос; обстоятельство: kwo es sey kosa? Что это за вещь? pa un-ney kosa первым делом",kwo,
kosinus , (kwo) cosine (math.),косинус,kwo,
kosmike , (kwel) cosmic,,kwel,
kosmo , (kwo) cosmos,космос; kosmike космический; kosmokostum скафандр (космический),kwo,
kosmokostum , (kwo) space suit,,kwo,
kosmonauta , (kwo) astronaut,космонавт,kwo,
kosta , (kwo) cost,,kwo,
Kosta Rika , (kwo) Costa Rica,Коста-Рика,kwo,
kosti , (zwo) cost,стоить. Kwanto kosti? Сколько стоит? kosta стоимость,zwo,
kostum , (kwo) suit (set of clothes),"костюм, комплект одежды; swimi-kostum купальный костюм",kwo,
kota , (kwo) cat (feline),"кот, кошка (при подчёркивании пола - man-kota, koto; gin-kota, kotina); yunkota котёнок",kwo,
Kota he lisi-pi milka. , The cat lapped up the milk.,,,Persian
kota to kapter,– cat the catcher,,,
kotkinka , (kwo) catkin,серёжка (на дереве),kwo,
koton , (kwo) cotton,хлопок,kwo,
kotonkapra , cotton fabric,,,
kovi ," (zwo) brood, incubate, hatch (cause to hatch)","высиживать, выводить цыплят; сидеть на яйцах; kovilot выводок",zwo,
kovilot , (kwo) brood,,kwo,
kovra ," (kwo) cover, covering","покров, покрытие; прикрытие; обложка; tablakovra скатерть; kovri покрывать; прикрывать; dekovri снимать покров, раскрывать; bukovri-ney неприкрытый",kwo,
kovri , (zwo) cover,,zwo,
koy , (inplas-kwel) some,"какой-нибудь; некоторый, некий, кое-какой; какой-то: dar ye koy gina ke me bu gwo vidi там была какая-то женщина, которую я никогда не видел; al bakdao me sal visiti koy shop e kupi koysa fo may familiayuan на обратном пути я собираюсь посетить некоторые магазины и купить кое-какие вещи для членов моей семьи; koysa что-то, нечто; koywan кто-то; koylok где-то; koytaim, koywen когда-то, в какое-то время; koygrad в какой-то степени; koydey когда-нибудь, однажды. Koys go a desna, otres a lefta - Одни пошли направо, другие налево.",,
koygrad , (komo) to some degree,"в какой-то мере, до некоторой степени",komo,
koygrad ," (inplas-komo) to some degree, to a certain extent","в какой-то мере, до некоторой степени",inplas-komo,
koykomo ," (inplas-komo) somehow, in some way or other",каким-то образом,inplas-komo,
koylok , (inplas-komo) somewhere,где-то; a koylok куда-то,inplas-komo,
koylok , (inplas-komo) somewhere,где-то; a koylok куда-то,inplas-komo,
koysa , (inplas-kwo) something,"что-то, кое-что, нечто; por koysa почему-то",inplas-kwo,
"koytaim, koywen "," (inplas-komo) somewhen, sometime, some time",,inplas-komo,
koyves , (inplas-komo) sometimes,иногда,inplas-komo,
koyves ," (komo) sometimes, at times, occasionally",иногда,komo,
koywan , (inplas-kwo) somebody,"кто-то; koywanes некоторые, кое-кто",inplas-kwo,
koywan , someone,"кто-то; koywanes некоторые, кое-кто",,
Koywen me ve hev un gran dom. , Some day I'll have a big house.,,,
kraba , (kwo) crab (crustacean),краб,kwo,Swedish
krai , (zwo) cry (shout ,кричать; kraisa крик; kraishil крикливый; kraiyuan глашатай; sobrekrai перекрикивать,zwo,
kraisa , (kwo) cry (shout),,kwo,
kraishil , (kwel) vociferous,,kwel,
kraiyuan , (kwo) town/public crier,,kwo,
krak! , (exklami) crack!,,exklami-partikla,
kraki ," (zwo) crackle, crack, crunch","трещать, хрустеть; kraking треск; krak! хрусть! (междометие)",zwo,
kraking ," (kwo) crackling, crack, crunch",,kwo,
kran ," (kwo) faucet, stopcock, tap, spigot",кран (на трубе),kwo,
"krapa, kraping "," (kwo) snore, snoring",,kwo,Russian
krapi , (zwo) snore,храпеть; krapa храп,zwo,
krashi ," (zwo) crush, squeeze",раздавить; задавить,zwo,
"kreata, kreating ", (kwo) creation,,kwo,
kreati , (zwo) create,"создать, создавать, творить; kreative созидательный, творческий; kreatura тварь, создание; kreata, kreating создание, творение, творчество",zwo,
kreative , (kwel) creative,,kwel,
kreatura , (kwo) creature,,kwo,
kreba ," (kwo) crawfish, crayfish",рак (членистоногое); Kreba Рак (знак зодиака),kwo,
kreda ," (kwo) belief, faith",,kwo,
kreda in boh , belief in god,,,
kredi , (zwo) believe,"верить; kredi (a) koywan верить кому-либо; kreda вера; верование; duskreda суеверие; kredi in boh верить в бога;  krednik приверженец веры, правоверный; kredibile правдоподобный, вероятный; nokredibile невероятный, неправдоподобный; kredival правдоподобный, убедительный",zwo,
kredi (a) koywan , believe smb.,,,
kredi in boh , believe in god,,,
kredibile ," (kwel) credible, verisimilar, believable",,kwel,
kredita ," (kwo) credit (business, finances)",кредит; krediti кредитовать,kwo,
krediti , (zwo) credit,,zwo,
kredival ," (kwel) plausible, credible, convincing",,kwel,
krednik ," (kwo) true believer, the faithful",,kwo,
krek ," (kwo) crack, crevice, fissure, cleft, split","трещина; kreki трескаться, треснуть; расщеплять(ся); раскалывать(ся); kreki-ney vos треснутый голос; kreki nuta щёлкать орехи; kreking раскалывание, расщепление; Nuta-kreker Щелкунчик",kwo,
kreki ," (zwo) crack, cleave",,zwo,
kreki nuta , crack nuts,,,
kreki-ney vos , cracked voice,,,
kreking , (kwo) cracking,,kwo,
krem , (kwo) cream,"крем; сливки; aiskrem мороженое; shu-krem вакса, сапожный крем",kwo,
kren , (kwo) horseradish,хрен,kwo,Italian
kresa , (kwo) growth,,kwo,
kresi ," (zwo) grow (but not ""become"")","расти; возрастать; kresa рост; dekresi убывать, идти на убыль; bekresi зарастать: livada bekresi-ney bay flor луг, заросший цветами",zwo,
kreson , (kwo) cress,кресс,kwo,
kresta ," (kwo) crest, ridge, top","гребень (горы, шлема, петуший)",kwo,
kreta , (kwo) chalk,мел,kwo,Spanish
kreveta , (kwo) shrimp,креветка,kwo,
Krim , (kwo) Crimea,Крым,kwo,
krimen , (kwo) crime (act),преступление; krimenale криминальный; уголовный; krimenjen преступник; krimenalitaa преступность,kwo,
krimenale , (kwel) criminal,,kwel,
krimenalitaa , (kwo) criminality; crime (practice),,kwo,
krimenjen , (kwo) criminal,,kwo,
kripi ," (zwo) creep, crawl","ползти, ползать; пресмыкаться, раболепствовать",zwo,
kripton , (kwo) krypton (chem.),криптон,kwo,
krisa , (kwo) crisis,кризис,kwo,Bulgarian
Krista , (kwo) Christ,Христос; Yeshu Krista Иисус Христос; Kristajanma Рождество Христово; kristakreda христианство; kristajen христианин; Krista rijivi! Христос воскрес! ,kwo,
Krista rijivi! , Christ has arisen!,,,
kristajanma , (kwo) Christmas,,kwo,
kristajen , (kwo) Christian,,kwo,
kristakreda , (kwo) Christianity,,kwo,
kristal , (kwo) crystal,кристалл; kristalifi кристаллизироваться,kwo,
kristalografia , (kwo) crystallography,кристаллография,kwo,
kristisi ," (zwo) christen, baptize","крестить, окрестить",zwo,
kriteri , (kwo) criterion,критерий,kwo,
kritika , (kwo) criticism,критика; kritiki критиковать; kritiker критик; kritika-ney критический (связанный с критикой),kwo,
kritika-ney ," (kwel) critical, of criticism",,kwel,
kritike ," (kwel) critical (1. involving criticism; 2. crucial, pivotal, decisive)","1) критический (связанный с критикой); 2) критический (решающий, переломный)",kwel,
kritiker , (kwo) critic,,kwo,
kritiki , (zwo) criticize,,zwo,
krokodil , (kwo) crocodile,крокодил,kwo,
krom , (kwo) chromium (chem.),хром,kwo,
krome ," (konekti-komo) besides, in addition to","кроме - в значении ""помимо, сверх, вдобавок""; krome ke nu es fatigi-ney, nu bu hev pyu taim помимо того что мы устали, у нас больше нет времени; krome (to) кроме того; kromepaga дополнительная плата, приплата; kromegun подрабатывать",konekti-komo,
"Krome lekti it, yu mog yoshi kan pikturas. ", Besides reading you can also look at the pictures. (syao),,,
krome to ," besides that, moreover",,,
kromegun ," work additionally, make some money on the side",,,
kromenam , (kwo) nickname,"прозвище, кличка (прозвище человека)",kwo,
kromenami , (zwo) nickname,,zwo,
kromepaga , extra payment,,,Russian
krona , (kwo) crown (also fig. as of teeth; also the former British coin worth 5 shillings),корона; венец; венок; крона (дерева); коронка (зуба); крона (монета); kroni короновать; увенчивать; kroning коронация,kwo,
kroni , (zwo) crown,,zwo,
kronika , (kwo) chronicle,хроника,kwo,
kronike , (kwel) chronic,хронический,kwel,
kroniki , (zwo) chronicle,,zwo,
kroning ," (kwo) crowning, coronation",,kwo,
kros,2) clubs (suit of playing cards),"крест; трефы (карточная масть), krosi перекрещивать(ся); пересекать(ся); krosa пересечение",,
kros , (kwo) 1) cross,"крест; трефы (карточная масть), krosi перекрещивать(ся); пересекать(ся); krosa пересечение",kwo,
krosa ," (kwo) intersection, crossing",,kwo,
krosi ," (zwo) cross, intersect",,zwo,
krosta ," (kwo) crust, incrustation; scab (incrustation)","кора, корка (твёрдый слой); pan-krosta корка хлеба; krosti покрываться коркой, затвердевать; krostifen hema запёкшаяся кровь",kwo,
krosti ," (zwo) crust, encrust",,zwo,
kru ," (kwel) raw, crude","сырой, необработанный; chi koysa kru есть что-л. сырым; kru masu сырое мясо",kwel,
kru masu , raw meat,,,Portuguese
kruele , (kwel) cruel Syn.: brutale,жестокий; kruelitaa жестокость,kwel,
kruga ," (kwo) jar, jug, pitcher",кувшин,kwo,German
kruma , (kwo) crumb,крошка; krumi крошить(ся),kwo,
krumi ," (zwo) crumb, crumble Danish",,zwo,
krusha ," (kwo) crash, collapse, wreck",,kwo,
krushi ," (zwo) crash, collapse","крушить/потерпеть крушение (крах); рушить(ся), рухнуть; krusha крах; крушение; обрушение; krushisi сокрушить, разгромить, разбить наголову; размозжить; krushisa разгром, сокрушение",zwo,
krushisa ," (kwo) rout, crushing defeat",,kwo,
krushisi ," (zwo) smash, defeat, beat, shatter",,zwo,
krute , (kwel) steep,"крутой, отвесный; nokrute пологий; krutika обрыв, круча",kwel,
krutika ," (kwo) steep slope, precipice Syn.: abrupte",,kwo,Russian
ku , (gramatika) interrogative particle,"Вопросительная частица в конце предложения либо после слова, к которому относится: Yu lai ku? Ты придёшь? Yu ku lai? Придёшь ты? Me lai, hao ku? Я приду, хорошо? Ver ku? Правда, в самом деле? См. также ob",gramatika,
Kuba , (kwo) Cuba,куб; kubike кубический,kwo,
kuba , (kwo) cube,куб; kubike кубический,kwo,
Kuba-jen , (kwo) inhabitant/citizen of Cuba,,kwo,
kubike , (kwel) cubic,,kwel,
kuda , (kwo) elbow (also a length of pipe with a sharp bend in it),"локоть; колено (тех.), сочленение; kudi, kudavati работать/пихать локтями; wekkudi koywan оттолкнуть кого-л. локтем",kwo,
"kudi, kudavati ", (zwo) elbow,,zwo,
kufla , (kwo) lock (device for fastening),замок (дверной); pendikufla висячий замок,kwo,
kukaracha , (kwo) cockroach,таракан,kwo,
kuker , (kwo) cook,,kwo,
kuki , (zwo) cook,"готовить пищу, стряпать; kuking стряпня; кухня (блюда); kuker повар; kukilok, kukishamba кухня (место); kukisikin кухонный нож",zwo,
kuking ," (kwo) cooking; cuisine, cooking style",,kwo,
kukipot , (kwo) cooking pot,,kwo,
"kukishamba, kukilok ", (kwo) kitchen,,kwo,
kukisikin , (kwo) kitchen knife,,kwo,
kukla , (kwo) doll,кукла,kwo,Greek
kuku , (kwo) cuckoo,кукушка; kuku fai ku-ku кукушка кричит ку-ку,kwo,
kuku fai ku-ku ," a cuckoo cries ""cuckoo""",,,
kul ," (komo) cool, super","""круто"", ""клёво"", ""зашибись""; kul-ney ""крутой"", ""клёвый""",komo,
kul-ney ," (kwel) cool, excellent, first-rate",,kwel,
kula , (kwo) bullet (projectile),пуля; kuladan гильза; kulakin дробь; kulagron снаряд; ядро (пушечное),kwo,
kula-fasia , cone of bullets,,,
kuladan , (kwo) case (receptacle for bullet),,kwo,
kulagron , (kwo) shell (projectile for cannon),,kwo,Icelandic
kulak , (kwo) fist,кулак; kulak-batala кулачный бой,kwo,
kulak-batala , (kwo) fistfight,,kwo,Russian
kulakin , (kwo) (small) shot,,kwo,
kulmina , (kwo) culmination,,kwo,
kulmini ," (zwo) culminate, reach the highest point","достигать кульминации, высшей точки; увенчивать(ся); kulmina кульминация, вершина, венец",zwo,
kulpa , (kwo) guilt,"вина; ошибка, промах, проступок: es may kulpa это моя вина; kulpa-ney (kulpe) om koysa виновный в чём-л.; kulpanesa виновность; sinkulpa-ney (sinkulpe) безвинный, невинный; kulpi om koysa быть виновным в чём-л.; kulpe versu koywan виноватый перед кем-л.; dekulpi оправдать (в суде); dekulpa оправдательный приговор",kwo,
kulpa-ney (kulpe) , (kwel) guilty,,kwel,
kulpanesa , (kwo) guiltiness,,kwo,
kulpe om koysa , guilty of smth,,,
kulpe versu koywan , guilty towards smb,,,
kulpi , (zwo) be guilty (of smth),,zwo,
kultiva , (kwo) cultivation,,kwo,
kultivi , (zwo) cultivate,"выращивать; культивировать; kultiva выращивание, культивация",zwo,
kultura , (kwo) culture,культура; kultura-ney (kulture) культурный (относящийся к культуре); kulturisi окультуривать,kwo,
kultura-ney (kulture) , (kwel) cultural,,kwel,
kulturisi , (zwo) culturize,,zwo,
kum- , (syao) god- (related through christening),,syao,
kumin , (kwo) caraway,тмин,kwo,Arabic
kumisma , (kwo) nepotism,,kwo,
kumman , (kwo) godfather of one's child; father of one's godchild,,kwo,
kummata , (kwo) godmother,,kwo,
kumpatra , (kwo) godfather,,kwo,
kumson , (kwo) godson,,kwo,
kun ," (konekti) with, along with","с, вместе с: ela shwo-te kun smaila – она сказала с улыбкой; kompari kun koysa – сравнить с чем-л.; lu klosi-te dwar kun shum – он закрыл дверь с шумом; kun forsa – с силой (сравни: bay forsa – силой). Kunem с собой, при себе. Pren me kunem! — Возьми меня с собой! Ob mani es kunem? — Деньги с собой?",konekti-partikla,
kun gro-respekta , with profound respect,,,
kun helpa de , with the help of,,,
kun krostifen hema , caked with blood,,,Portuguese
kun kuyda , with care,,,
kun plesir , with pleasure,,,
kunda , (kwo) butt (of gun),приклад,kwo,"Hindi, Pashtoo"
kundal , (kwo) earring,серьга (см. также aurhalka),kwo,Hindi
kunem , (komo) with oneself,,komo,
kunflui ," (zwo) flow together, interflow, join, merge (Origin: kun+flui)","сливаться, стекаться",zwo,Lidepla
kungo ," (kwo) go together, go along with Origin: kun+go",идти вместе,kwo,Lidepla
kunila , (kwo) rabbit,кролик,kwo,
Kunlun Shan , (kwo) Kunlun Mountains,КуньЛунь (горы),kwo,
kunpren , (zwo) take with one (Origin: kun+pren),"взять с собой, захватить с собой",zwo,Lidepla
kunshwo ," (zwo) converse, talk","беседовать, разговаривать: li kunshwo они разговаривают. Kunshwosa разговор, беседа; kunshwoer собеседник",zwo,
kunshwoer , (kwo) interlocutor Syn.: toki,,kwo,
kunshwosa ," (kwo) conversation, talk",,kwo,
kupa , (kwo) purchase (act of purchasing or smth purchased),,kwo,
kupala , (kwo) Midsummer Day,летний солнцеворот,kwo,Slavic
kuper ," (kwo) buyer, purchaser",,kwo,
kupi , (zwo) buy,покупать; kupa покупка; kuper покупатель; kuping шоппинг,zwo,
kuping , (kwo) shopping,,kwo,
kuprum , (kwo) copper,медь,kwo,
kupula ," (kwo) cupola, dome",купол,kwo,Spanish
kuraja ," (kwo) courage, boldness","мужество, смелость, храбрость, отвага; kuraja-ney (kuraje) храбрый, смелый; kuraji отваживаться, осмеливаться; kurajisi ободрять, вселять отвагу; kurajnik храбрец, смельчак; nokuraja трусость",kwo,
kuraja-ney (kuraje) ," (kwel) courageous, bold, daring, audacious",,kwel,
kuraji ," (zwo) dare, be bold, venture",,zwo,
kurajisi ," (zwo) encourage, hearten",,zwo,
kurajnik , (kwo) man of courage,,kwo,
kurban , (kwo) sacrifice,"жертва (что-л. принесённое в жертву; принесение в жертву; ср.viktima); kurbani жертвовать, приносить в жертву",kwo,
kurbani , (zwo) sacrifice,,zwo,Turkish
kurd ," (kwel, kwo) Kurd; Kurdish",курд; курдский; курдский язык,kwo-kwel,
kuri ," (zwo) court (someone of the opposite sex), woo",ухаживать; kuri-sha ухажёр,zwo,
kuriose ," (kwel) curious (odd, arousing interest because of novelty or strangeness ","любопытный, забавный, курьёзный (сравни jigyas-ney)",kwel,
kurkuma , (kwo) turmeric,куркума,kwo,Arabic
kurkuri , (zwo) coo,ворковать,zwo,
kurla , (kwo) curls,"кудри; kurlinka кудряшка, завиток; kurli курчавиться, виться, завиваться; kurla-ney (kurle), kurlahar-ney кудрявый; kurlisi завивать; kurlisa завивка",kwo,
"kurla-ney (kurle), kurlahar-ney "," (kwel) curly, curly-haired",,kwel,
kurli , (zwo) curl (intr.),,zwo,
kurlinka , (kwo) curl,,kwo,
kurlisa ," (kwo) curling, (hair-)wave",,kwo,
kurlisi ," (zwo) curl (tr.), twist into ringlets or coils",,zwo,
kursa ," (kwo) course (of lessons, of lectures, of study, etc.); (fin.) rate (of exchange); course (direction)","курс (обучения, лечения, биржевой; направление движения)",kwo,
kurte , (kwel) short,короткий; mah-kurte (kurtisi) укорачивать; kurtem короче говоря,kwel,
kurte sirkuita , short circuit,,,
kurtem ," (komo) shortly, in short",,komo,
kurtena , (kwo) curtain,"занавеска; kurteni занавешивать; dekurteni winda, plis! Пожалуйста, раздвинь занавески!",kwo,
kurteni , (zwo) curtain,,zwo,
kurti , (zwo) shorten (tr./intr.),,zwo,
kurupa ," (kwo) ugly creature, ugly person",,kwo,Hindi
kurupe ," (kwel) ugly, unsightly","уродливый, безобразный; kurupa урод",kwel,
kurva , (kwo) curve,,kwo,
kurve ," (kwel) curved, crooked, bent","кривой, изогнутый; kurva кривая; кривое место, изгиб; kurvitaa кривизна; kurvi искривлять(ся); kurvifi криветь, искривиться; изогнуться; kurvisi искривлять; изгибать",kwel,
kurvi ," (zwo) curve, bend (tr./intr.)",,zwo,
kurvifi ," (zwo) curve, bend (become curved), wind",,zwo,
kurvisi ," (zwo) curve, bend (cause smth to change its shape into a curve)",,zwo,
kurvitaa , (kwo) curvature,,kwo,
kuryum , (kwo) curium (chem.),кюрий (хим.),kwo,
kusa , (kwo) bite,,kwo,
kushale ," (kwel) skilful, deft, dexterous, clever","ловкий, умелый, искусный; nokushale неуклюжий, неловкий, неумелый; доставляющий неудобство",kwel,
kushen ," (kwo) pillow, cushion",подушка; kushenkuta наволочка,kwo,
kushenkuta , (kwo) pillow case,,kwo,
kushike , (kwel) Cushitic,кушитский,kwel,
kusi , (zwo) bite,"кусать, укусить; клевать (о рыбе); kusa укус; kusishil кусачий; kusi wek откусить; trakusi прокусить",zwo,
kusishil , (kwel) biting (tending to bite),,kwel,
kuta ," (kwo) tegument, coating, envelope (wrapping)","оболочка; наружный покров (кора, кожура, шелуха и т.д.); пелена, завеса; letakuta конверт; baumkuta кора дерева; grey kuta de pluva серая пелена дождя; kuti обёртывать, завёртывать; закутывать, укутывать; обволакивать; облицовывать; dekuti разворачивать; снимать кожуру, очищать",kwo,
kuti ," (zwo) envelop, wrap, cover, coat",,zwo,
kuyda ," (kwo) care, concern, worry",,kwo,
kuyda-nem (kuydem) ," (komo) carefully, thoroughly",,komo,
kuyda-ney (kuyde) ," (kwel) careful, thorough",,kwel,
kuydaful , (kwel) preoccupied,,kwel,
kuydi ," (zwo) care, take care; be concerned, worry","1) ухаживать, смотреть (за кем/чем-либо), заботиться: kuydi kinda заботиться о детях; kuydi flor ухаживать за цветами; kuydi suy sanitaa следить за своим здоровьем; kuydi to! позаботься об этом! kuydi bu mokrisi peda! смотри, не промочи ноги! kuydishil заботливый; 2) заботиться, беспокоиться, тревожиться (om koysa - о чём-либо); kuyda забота; усердие, тщательность; уход, присмотр, попечение; kun kuyda, kuydem тщательно, внимательно, осмотрительно, осторожно; sinkuyda-ney (sinkuyde) беззаботный, беспечный; sinkuydem беспечно, беззаботно; kuydaful озабоченный, полный забот. Сравни wahti",zwo,
kuydi flor , look after flowers,,,
kuydi kinda , care for children,,,
kuydishil ," (kwel) careful, considerate, conscientious",,kwel,
kwach ," (kwo) nonsense, rubbish, rot, bullshit","вздор, чепуха, ерунда, чушь; kwachi, fai kwach пороть чушь, плести чепуху",kwo,
kwachi ," (zwo) talk nonsense / rubbish, drivel",,zwo,German
kwadra,2) diamonds (suit of playing cards),"квадрат; клетка (на ткани, бумаге); бубны (карточная масть) kwadri возвести в квадрат; kwadra-ney (kwadre) квадратный; do kwadras, kwadras-ney в клетку, клетчатый",,
kwadra , (kwo) 1) square (polygon); check (square),"квадрат; клетка (на ткани, бумаге); бубны (карточная масть) kwadri возвести в квадрат; kwadra-ney (kwadre) квадратный; do kwadras, kwadras-ney в клетку, клетчатый",kwo,
kwadra-ney (kwadre) ," (kwel) square (but not ""honest, fair"")",,kwel,
kwadra-riza , square root,,,
kwadra-riza , square root,,,
kwadra-skoba ," (kwo) square brackets (""[]"")",,kwo,
kwadranta , (kwo) quadrant (device),квадрант,kwo,
"kwadras-ney, do kwadras ", (kwel) checkered (divided into squares),,kwel,
kwadri , (zwo) square (raise to the second power),,zwo,
kwadrila , (kwo) quadrille (dance),кадриль,kwo,
kwaizi , (kwo) chopsticks,палочки для еды (тж. chi-stik); chi bay kwaizi есть палочками; tri para kwaizi три пары палочек; un ge kwaizi одна палочка для еды,kwo,
kwaki ," (zwo) croak (of a frog, to make its cry)",квакать,zwo,
kwalifa , (kwo) qualification,,kwo,
kwalifi , (zwo) qualify (characterize; certify),"квалифицировать; характеризовать, оценивать; kwalifa квалификация",zwo,
kwalitaa , (kwo) quality,качество; свойство; kwalitaa-ney качественный ,kwo,
kwalitaa-ney , (kwel) qualitative,,kwel,
kwalma ," (kwo) fumes, charcoal fumes","чад, угар",kwo,Swedish
kwan , (kwo) well,колодец,kwo,Hindi
kwanshi , (kwo) ore,руда; kwanshilok рудник,kwo,
kwanshilok , (kwo) mine (place where ores and minerals are extracted),,kwo,Mandarin
kwantitaa , (kwo) quantity,количество; kwantitaa-ney количественный,kwo,
kwantitaa-ney , (kwel) quantitative,,kwel,
kwanto ," (kwesti) how much, how many","сколько: kwanto kosti? сколько стоит? me bu ve pagi tanto, kwanto lu yao – я не буду платить столько, сколько он хочет. Pa kwanto lu es pyu lao? - Насколько он старше?",,
Kwanto it kosti? , How much does it cost?,,,
Kwanto kosti? , How much does it cost?,,,
Kwanto yar yu hev? , How old are you?,,,
kwanto-worda ," (grammar term) word denoting number, numeral (e.g. dwa)","(грамм. термин) слово, обозначающее количество; числительное (например, dwa)",,
kwantum , (kwo) quantum (physics),квант,kwo,
kwarza , (kwo) quartz,кварц,kwo,
kwas , (kwo) kvass,квас,kwo,Russian
kwasi ," (konekti-komo) quasi, as if, as it were, as though","как будто; как бы; квази: li simuli, kwasi li gun они прикидываются, будто бы работают; drama representi kwasi reflekta de jiva драма представляет собой как бы отражение жизни; kwasi flai por joisa летать как на крыльях (от радости)",konekti-komo,
kway ," (kwel, komo) quick, rapid, fast; quickly, rapidly, promptly",быстрый; быстро; kway tren скорый поезд; kwaytaa скорость,kwel-komo,
kway kom bliza , as quick as lightning,,,
kway tren , fast train,,,
kwaylok , (kwo) rapids,"порог (речной), стремнина",kwo,
kwaytaa ," (kwo) quickness, rapidity; speed, velocity",,kwo,Mandarin
kwel ," (kwesti) which, what (which one)",какой: Kwel es lu? Каков он? Kwel de li? Какой из них? Kwelgrad? В какой степени?,,
Kwel bus go adar? , What bus goes there?,,,
Kwel de li? , Which (one) from them?,,,
Kwel es lu? , What is he like?,,,
Kwel kitaba yu zai lekti? , What book are you reading?,,,
kwel klok es? , what time is it?,,,
kwel unkwe mahta lu posesi , whatever power he possesses,,,
kwel unkwe suy janmalingwa es , whatever his/her native language is,,,
kwel-worda ," (grammar term) word that functions as a noun modifier, adjective (e.g. jamile, jen-ney, lektival)","(грамм. термин) слово, функционирующее в предложении как определение; прилагательное (jamile, jen-ney, lektival)",,
kwel-yuan , (grammar term) attribute (part of a clause),"(грамм. термин) член предложения, обозначающий качество; определение",,
kwelgrad , (komo) to what extent,,komo,
Kwelgrad? , To what extent?,,,
kwellok , (kwesti) where,,,
kwerela ," (kwo) quarrel, altercation, variance, brawl",,kwo,
kwereli , (zwo) quarrel (engage in a quarrel; dispute angrily),"ссориться, ругаться, переругиваться; kwerela ссора, перебранка",zwo,
kwerka , (kwo) oak,дуб,kwo,
kwesta , (kwo) question,,kwo,
kwesta-nem (kwestem) , (kwo) interrogatively,,kwo,
kwesta-ney (kweste) , (kwo) interrogative,,kwo,
kwesti , (zwo) ask,"спрашивать, задавать вопрос; kwesta вопрос; kwesta-ney (kweste) вопросительный; kwesta-nem (kwestem) вопросительно; kwesti-signa вопросительный знак",zwo,
kwesti-signa , (kwo) question-mark,,kwo,
kwiti ," (zwo) abandon, forsake, quit","покидать, бросать, оставлять; прекращать; забросить: nu kwiti ba sey kwesta давайте оставим этот вопрос; kwiti kama покинуть постель, встать с постели; kwiti familia — оставить семью; kwiti nada — оставить надежду",zwo,
kwiti fumi , give up smoking,,,
kwiti kama , get out of bed,,,
"kwiti molya, gunsa "," quit the wife, the work",,,
kwo ," (kwesti) what Note. ""What"" as an adjective (before a noun) is ""kwel""","Что (вопросительное местоимение): Kwo es? Что это? Jen kel jan kwo ta yao Человек, который знает, чего он хочет",,
Kwo es se? , What is this? ,,,
Kwo es se? Se es dom. , What is this? This is a house.,,,
Kwo eventi-te a lu? , What has happened to him?,,,
Kwo eventi? , What's happened?,,,
Kwo lopi tra shamba? - Un maus-si. , What is running across the room? - A mouse or something.,,exampla-ney frasa,
Kwo si ta bu lai? , What if he doesn’t come?,,exampla-ney frasa,
kwo unkwe lu shwo , whatever he says,,,
"Kwo unkwe yu shwo, me ve zwo se olosam. "," Whatever you say, I'll do it anyway.",,,
Kwo ye? , What's up? What is the matter?,,,
Kwo yu maini bay to? , What do you mean by that? Syn.: signifi,,,
Kwo yu maini? , What do you mean?,,,
"Kwo yu pri pyu, rasmi o gani? "," What do you like more, to draw or to sing?",,,
Kwo yu yao? , What do you want?,,,
